,Text
00:16:15, of blocks so the content is a text block so I just this is just something that
00:16:21, finds the first text block you know it's like I mean it's tiny
00:16:26, um and so that means that now now at least I've kind of get got down to the bit that
00:16:31, has the bit I normally care about because I don't normally care about the ID I already know what the model is I
00:16:37, know what the r is going to be Etc um and then so from the text block I
00:16:44, want to pull out the text so this is just something that pulls out the text and so now from now on I can always just
00:16:50, say contents and get what I care about so something I really like though is like
00:16:57, okay this is good but sometimes I know the extra information like the stop sequence or the usage so in Jupiter if
00:17:04, you um create this particular named method representation in
00:17:10, markdown um for an object then it displays that object using that markdown
00:17:18, so in this case uh I'm going to put the contents of the object followed by the
00:17:25, details as a list and so you can see what that looks like here there's the
00:17:31, contents and there's the details and if you're wondering like
00:17:37, okay how did Jeremy add this Behavior to anthropics class well this is a nice
00:17:46, little fast core thing called patch where if you define a function and you say patch and you give it one or more
00:17:52, types it changes those existing types to give it this Behavior so this is now if
00:17:59, we look at tools beta message. rep markdown
00:18:05, there we go we just put it in there so that's nice and so the other yeah I was
00:18:11, going to say there's like a a trade-off in terms of time here where if you only ever had to look at something once you
00:18:17, just manually type out response. messages Z do block whatever choices.
00:18:24, text right you type all that up if you have to do it a million times it's it's very nice to have these convenient
00:18:29, yeah also for the docs right like every time I want to show what the response is
00:18:35, this is now free I think that's nice um
00:18:40, yeah so I don't yeah so I actually what I'm describing here is not
00:18:47, the exact order it happened in in my head you know because yeah it wasn't until I did this a couple of times and
00:18:52, was like trying to find the contents and blah blah blah that I was like oh this is annoying me and I went back and I
00:18:58, edit it you know know this is probably like 15 minutes later I went back and like yeah I wish that
00:19:04, existed um I did know that usage tracking was going to be important like you know how much money you spending
00:19:09, depends on input and output tokens so I decided to make it you know easy to keep
00:19:15, track of that so I created a little Constructor for usage um I just added a
00:19:21, property uh to the usage class that adds those together and then I added a
00:19:27, representation this one is used for Strings as well this is part of python itself um if you add this in so now if I
00:19:34, say usage I can see all that information that was nice and then since we want to be able to track usage we have to be
00:19:40, able to add usage things together so if you override done to add in Python it
00:19:46, lets you use plus so um that's something else I decided to
00:19:51, do um and so at this point yeah I kind of felt like you know these basic things
00:19:56, I'm working with all the time I should be able to use them conveniently and only took a few minutes to add those and
00:20:04, then ditto I notic a lot of people in fact nearly everybody including the anthropic
00:20:10, documentation manually writes these I mean again it doesn't take long but it doesn't take very long to write this
00:20:16, once either and now you know if you're just something as simple as defaulting
00:20:21, the role then it's just a bit shorter I can I'll say make message and it's just creating that
00:20:27, dictionary okay so now I can do exactly the same
00:20:32, thing um okay and so then since it always goes user assistant user
00:20:38, assistant user assistant I thought okay you should be to just send in a list of strings and it just figures that out so
00:20:44, this is just going using i% two to jump between user and assistant
00:20:52, um and you know make message I then realized okay we should
00:20:57, change it slightly so so like if it's already a dictionary we shouldn't change it and stuff like that but you know
00:21:03, basically as you can see here I can now pass in a list of messages a bit more
00:21:09, easily so my prompt was I'm
00:21:14, Jeremy R is a response
00:21:21, and then I've got another string so um if I pass in something
00:21:30, which has a Content attribute then
00:21:35, I use that uh and so that way you can see the messages now I've got I'm Jeremy
00:21:41, and then the assistant contains the response from the assistant so it's it's happy with that as well you
00:21:48, know it doesn't have to be a string and so this is how and okay again from
00:21:53, people if you've watched my llm hackers guide you know this um language models
00:21:59, currently have no State like you know when you chat with chat GPT it looks like it has State you know that like you
00:22:06, can ask follow-up questions but actually the entire previous dialogue gets sent each time so when I say I forgot my name
00:22:13, can you remind me please I also have to pass it all of my previous questions and all of its previous answers and that's
00:22:20, how it knows what's happened and so then
00:22:25, hopefully okay I don't know your name I referred to as with Jeremy all right well so you do know thank you so turns
00:22:31, out my name is Jeremy okay so I feel like something as simple as this is already useful for experimenting and
00:22:39, playing around and for me I would rather generally use something like a notebook
00:22:45, interface for interacting with a model than the kind of default chat GPT thing
00:22:52, or CLA thing this where I can like save by notebooks I can go back and experiment I
00:22:58, can do things programmatically so this was a big kind of thing for me as like okay I want
00:23:04, to I want to make a notebook at least as ergonomic as chat GPT plus well of the
00:23:12, additional usability of a notebook so these These are the little things that I think
00:23:18, help um passing the model each time seems weird because I generally like
00:23:24, pick the model once per session so I just created this tiny class to remember what model I'm working with so that's
00:23:31, what this client class does and the second thing it's going to do is it's going to keep track of my
00:23:36, usage so maybe the the the transition that I see happening right now is everything up until this point was like
00:23:43, housekeeping of I'm doing exactly the same things the official API can do but I'm just making like my own convenience
00:23:49, functions for that um but then the official API doesn't give you tracking usage of multiple conversations keeping
00:23:55, track of the history and all of that so it seems like now we're shifting to like okay I can do the same things that the
00:24:00, API allows me to do but now I have to I don't have to type as much I've got my convenience functions yeah but now it's
00:24:05, like okay what else would I'd like to do I'd like to start tracking usage model setting okay and this is
00:24:10, kind of important to me because I don't want to spend all my money unknowingly so I
00:24:17, want it to be really easy and so what I used to do was to like always go back to the open AI or whatever web page and
00:24:22, check the billing um because you can actually blow out things pretty quickly so this it's just like I just saying
00:24:30, like Okay well let's just start with a use of zero right and then I just wrote
00:24:35, this tiny little private thing here we'll ignore preu for now which just
00:24:41, stores what the last result was and adds the usage so now when I call it a few
00:24:48, times um you know each time I call it it's just going to remember the usage and so again I just going to
00:24:56, ignore stream for a moment um so then I Define d to call so D to call is the
00:25:03, thing that you basically create an object and then you could pretend it's a function so it's a thing that makes it
00:25:09, callable and so when I call this function I'll come back to some of the details in a moment but the main thing
00:25:16, it does is it calls make messages on your messages and then it calls
00:25:24, the messages. create and then it
00:25:29, remembers the result and keeps track of the usage so basically the key Behavior now is that when I start it's got zero
00:25:37, usage I do something and I've now tracked the usage and so if I call
00:25:43, it again that 20 should be higher now
00:25:49, 40 um so it's still not remembering my chat history or anything it's just my
00:25:54, usage history so I like to yeah I like to do like very it all at a time and so
00:26:00, you'll see like this is like a large function by my standards it's like 1 2 3
00:26:06, four five six seven eight whole lines that's I don't want to get much bigger than that because my brain's very small
00:26:12, so I can't keep it all in my head so that's just a small amount of stuff so there's a couple of other things we do
00:26:18, here one is we do something which anthropic is one of the few companies to
00:26:26, officially support which is called pre which is where you can say to anthropic
00:26:32, okay this is my question what's the meaning of life and you answered with
00:26:38, this starting point like it's not you say you don't say please answer with this you literally it literally has to
00:26:45, start its answer with this that's called prefill so if I call call it that's my
00:26:52, object with this question with this prefill it forces it to start without answer
00:26:59, so um yeah so basically when you call this little tracking thing which takes
00:27:05, track of the usage this is where you also pass in the prefill and so if you want some prefill then as you can see it
00:27:12, just adds it in um and the way it also so that's just to the answer because anthropic doesn't put it in the answer
00:27:19, and the way anthropic actually implements this is that um
00:27:30, the messages it gets appended as an additional assistant message so it's the
00:27:35, messages plus the pre-fill so basically you pass in an assistant message at the end and then the assistant's like oh
00:27:41, that's what I started my answer with this isn't documented necessarily in their API because it's it's it's like
00:27:48, oh this is how you send a user message and we'll respond with an assistant message and you have to kind of dig a little bit more to say oh if I send you
00:27:54, an assistant message as the last message in the conversation this is how we'll interpret that we'll continue on in that
00:27:59, message and like yeah they've got it here so they've got you know claude's anthropic is good with this you know um
00:28:07, they actually they understand that pre that that prefill is incredibly powerful like particularly Claude loves it Claude
00:28:13, like Claud does not listen to System prompts much at all and this is why like
00:28:19, each different model you have to learn about its quirks you know so Claude ignores system prompts but if you tell
00:28:26, it oh this is how you you answered the last three questions it just jumps into that role now it's like oh this is how I
00:28:33, behave you know and it'll it'll keep doing that and you can you know maintain
00:28:38, character consistency so I use this a
00:28:43, lot um and here's a good example like start your assistant with open curly
00:28:49, brace I mean they they support tool calling or whatever but this is like a simple way so sometimes I will like
00:28:56, start my response with backtick backtick backtick python that forces it to start
00:29:01, answering the python code so yeah lots of useful things you can do with prefill have you noticed
00:29:09, personally that the uh Improvement is significant when you use prefill I mean there I see they're recommending it but
00:29:15, I'm just curious what your anecdotal impression is I mean it it it it answers it answers it with that St you know so
00:29:22, yeah if you want it to answer with that start then it's it's perfect um
00:29:28, uh unfortunately gp4 doesn't generally do it properly uh Google's Gemini Pro
00:29:34, does and Google's Gemini Flash doesn't so they're a bit all over the place at
00:29:39, the moment um so then yeah the other thing you can
00:29:45, do is streaming now streaming is a bit hard to see with a short
00:29:52, question so we'll make a longer one and so you can see it generally
00:29:57, comes out B pop pop pop pop I don't have any pre-written funny that's terrible oh you know why because we're
00:30:04, using Hau and Hau is not at all creative so if we go C
00:30:13, do model equals Model Z we can up skill
00:30:19, to Opus try
00:30:26, again all right slow enough I don't think I want to wait for do the whole thing
00:30:34, anyway this just G to keep going isn't it stop all
00:30:40, right um okay let's go back to this one yeah so
00:30:50, streaming you know it's one of these things I get a bit confused about like
00:30:55, it's as simple as calling um messages. stream instead of messages.
00:31:03, create but the thing you get back is an iterator which you have to yield and then once it's finished doing
00:31:11, that it stores the final message in here and that's also got the usage in it so
00:31:18, anyway this like this is some little things which without the framework would be annoying um so with
00:31:25, this little tiny framework it's automatic and and you see this in the notebook in its final form right but
00:31:30, this uh call method was first written without any streaming like get it working on the regular Cas yeah no
00:31:38, prefill first so then it's it's you know three lines and then okay
00:31:46, is that yeah yeah um and then you know we can
00:31:53, test the stream function by itself and test it out with the smaller Primitives first and then put it into a function
00:32:00, that then finally gets integrated in yeah exactly and this is like a one of
00:32:07, these little weird complexities of aan
00:32:12, is J was asking me yesterday it's like oh we could just refactor this and move this into here and then we don't need a
00:32:19, whole separate method but actually we can't as soon as there's a yield anywhere in a function the function is
00:32:25, no longer a function and it's now a co-routine and it behaves differently so this is kind of weird thing where you
00:32:31, have to pull your yields out into separate methods yeah it's a minor
00:32:37, digression um okay so yeah you can see it's nice that
00:32:43, it's now tracking our usage across all these things um and we can add the two
00:32:50, together prefill and streaming okay yeah any questions or
00:32:56, comments so far yeah um and is there a way to try to
00:33:03, reset uh the counter if you wanted just to be able to start over at some point I
00:33:10, mean the the the way I would do it was I would just create a new client C equals
00:33:16, okay you know but you could certainly go C do use equals usage
00:33:21, 00 in fact z z is the default so actually now I think about it we could
00:33:26, slightly improve our code to remove three characters um which would be a big
00:33:32, benefit because we don't like characters we can get rid of those well there you go so yeah you could just
00:33:41, say um C do use equals
00:33:49, usage and you know in general like I think people don't do this kind of like
00:33:57, manipulating the attributes of objects directly enough like why not you know you don't have to do everything through
00:34:04, like people often create some kind of like SE usage method or something like no don't do that paranoid Java style
00:34:11, that exactly emerged like a decade ago for some reason speaking of yeah oh yeah
00:34:17, yeah that's longer speaking of um directly manipulating properties of
00:34:22, objects so you showed how we can use prefill to predefine the beginning of
00:34:28, the assistant response if I've had a multi-turn exchange with an assistant can I just go in there and clobber one
00:34:36, of the earlier assistant messages to convince the assistant that it said something it didn't because sometimes
00:34:41, actually we just we we um we don't have any state in our class right okay so
00:34:50, we're passing in um so here we're passing in a single
00:34:56, string right but we could absolutely pass in a list uh so I said
00:35:04, hi um and the model said hi to you
00:35:11, too um okay I am
00:35:19, Plato I am socres
00:35:25, okay so me about yourself I don't know what will
00:35:30, happen here but we've just convincing it that this is the conversation that it's occurred so now Claude is probably going
00:35:35, to be slightly confused by uh the fact that it reported itself not to be claw
00:35:41, uh no I mean I don't we haven't set a sister message to say it's clawed
00:35:47, so there you go no not at all confused I am
00:35:52, Socrates so as I said you know claude's very you know happy
00:35:58, to be told what it said and it will go along with it I'm very fond of Claude Claud has Good
00:36:04, Vibes oh oh you may be
00:36:10, surprised to hear I am actually
00:36:20, Australian this is the point of the video where we get sidetracked and talk to Opus for a good long time
00:36:29, not very interesting what do you say
00:36:34, mate fair enough okay so yeah you can tell it anything you like is you know is
00:36:40, the conversation because it's got no state now it's forgotten everything it's just said the only thing it remembers is
00:36:45, it's use so that's all we've done so far so
00:36:51, remembering oh actually so before we do that um we'll talk about tool use
00:36:57, so yeah basically I wanted to before we got into like multi-turn dialogue automatic stuff
00:37:04, I wanted to kind of have the basic behavior that you know
00:37:09, anthropic um anthropics SDK provides I wanted to like you know have it
00:37:15, conveniently wrapped so
00:37:20, um tool use is officially still in beta but I'm sure it won't be for long can I
00:37:27, can I ask about one more pre- tool use case that I think occurs to me right away and so maybe it'll occur to other people if they're curious um one thing
00:37:36, you often find yourself doing when you're experimenting with prompts is going through a lot of variations of the
00:37:41, same thing so you have your template and then you want to vary different parts of it uh and before you you know write code
00:37:48, to churn out variations you're usually doing it a bit ad hoc so using this API
00:37:54, the way it is now if I had a client and a bit of an exchange already built up
00:37:59, and then I wanted to kind of fork that and create five of them and then continue them in five different ways can
00:38:04, I just duplicate one would the would the right way to do that would be to duplicate the client would the right way
00:38:11, to do that just to be to extract the do it represents the exchange and create new clients I'm just getting a sense for
00:38:16, what would be the fluid way of doing it with this API let's do it
00:38:25, okay um
00:38:31, okay options equals how do you spell Zimbabwe and
00:38:38, jono Zim yep ewe
00:38:43, yep print contents
00:38:59, oh you know what these are boring again because I think we've gone back to our old model see do model equals
00:39:08, models zero no wonder it's got so dull hu is just like really doesn't like
00:39:19, pretending oh come on look what it's doing
00:39:30, ah all right anyway clud is being a total
00:39:36, disappointment so the fact that it's reasonable to do this just by slamming a new list into the C function is an
00:39:43, indication of what you just said which is that there's no State hiding inside the C function that we need to worry
00:39:48, about mangling when we do that that's right there's no State at all got it so when we recall it it knows nothing
00:39:56, about being Socrates whats ever everyone is a totally independent rest call to a there's no session ID there's no nothing
00:40:03, to tie these things together all right we probably just
00:40:09, spent cents on that
00:40:14, question it's so funny they're like what you they like a few dollars per million tokens or something like I look at this
00:40:20, like who all those tokens and like oh yeah it's proba like one cent or something less I got to get used to not
00:40:26, being too scared okay so uh so tool use you know refers
00:40:36, to things like this get the weather in the given location so there's a tool called get weather and then how would it
00:40:42, work I don't know it would call some other weather API or something um so both in open Ai and in
00:40:51, CL pools are specified using this particular format which is called Jon on
00:41:01, schema and my goal is that you should never have to think about that um for some reason nearly
00:41:07, everything you see in all of their documentation writes this all out manually which I think is pretty
00:41:13, horrible so instead we're going to create a a very complicated tool it's something that adds two things
00:41:19, together and so I think the right way to create a to is to just create a python
00:41:24, function um so the thing about these tools as you see
00:41:30, from their example is they really care a lot about
00:41:35, like descriptions of the tool descriptions of each parameter you know and they they say quite a
00:41:42, lot uh in their documentation about like how important all these details are to
00:41:50, provide so um luckily I wrote a thing a
00:41:55, couple of years ago called documents that makes it really easy to add information to your functions and it
00:42:02, basically uses built-in python stuff so the names of each parameter is just the name of the parameter the type of the
00:42:08, parameter is the type the default the parameter is the default and the description of the parameter is the
00:42:13, comment that you put after it or if you want more room you can put the comment
00:42:19, before it uh documents is happy with either um and you can also put a
00:42:25, description of the result you can also put a description of the function and so if you do all those
00:42:32, things um then you can see here I said tools equals get schema this is the thing that
00:42:38, creates the Json schema so if I say tools there you go you can see it's created the Json schema from that
00:42:46, including the comments have all appeared um and the return comment ends
00:42:53, up in this returns here and if you didn't do any of
00:42:58, that like if you just wrote a function sums that took two untyped variables A and B you would still get something
00:43:04, functional the model would probably still be able to use it but it just wouldn't be recommended is that
00:43:09, right um I think well I mean my understanding is you have to pass in a
00:43:16, Json schema MH so if you don't pass in a Json schema so you would have to have
00:43:22, somehow create that Jon schema I don't know if it's got some default thing that Auto generates one for
00:43:28, you um oh I'm I'm more thinking like if we don't follow the documents format for
00:43:34, example oh yeah so if we got rid of these um you know so if we got rid of
00:43:40, the documents yep you could get rid of the doc string you could get rid of the def
00:43:46, the types and the defaults you could do that yeah in which
00:43:51, case the um that's okay so it does at least need
00:43:57, types so let's add types ah well that's a bit of a bug in
00:44:03, my code huh no yeah it appears like you
00:44:08, have to annotate it there well I'll fix that it shouldn't be necessary destion oh okay it at least
00:44:17, wants a doc string okay so currently that's the
00:44:22, minimum that it that it needs and I don't know if it actually requires a description I suspect it
00:44:29, probably does because otherwise maybe I guess it could guess what it's for from the sum from the name but yeah it
00:44:35, wouldn't be particularly useful so okay so now that we've got a tool
00:44:45, when we call Claud we can tell it what tools there are and now we're also going
00:44:51, to add a system prompt and I'm just going to use that system
00:44:57, you don't have to right if you don't say you have to use it then sometimes it'll try to add it itself but it's not very
00:45:04, good at adding so I would I like to you know I also think kind of user facing I
00:45:10, think it's kind of weird the way Claude tends to say okay I will use the sum tool to calculate that sum it loves
00:45:16, doing that open AI doesn't um I think this is because anthropics a bit like they haven't got as much user facing
00:45:22, stuff they don't have any user facing tool use yet so yeah I don't I think their tool use is quite as nicely
00:45:30, described so if we um yeah so if we uh pass in this prompt what is that plus
00:45:38, that we get back this so we don't get back an
00:45:46, answer instead we get back a tool use
00:45:51, message the tool use says what tool to use and what parameters to pass it
00:46:01, so um I then just wrote this little thing that um you pass in your to use
00:46:09, block so that's this thing and it grabs the name of the function to
00:46:15, call and it grabs that function from your symbol table and it calls that
00:46:22, function with the input that was requested um so when when I said the symbol table or the name space basically
00:46:30, this is just a dictionary from the name of the tool to the definition of the
00:46:36, tool um so if you don't pass one it uses globals which in other words is every
00:46:41, python function you currently have available you probably don't want to do that you know if it's like o os. unlink
00:46:49, or something um so this little make namespace thing is just something that
00:46:55, you just pass in a bunch of functions too and it just creates a mapping from
00:47:01, the name to the function so that way this way yeah I'm just going to say like if I'm a
00:47:08, somewhat beginner I'm I'm approaching LM I've I've seen your hackers guide you know this this screen full of code has
00:47:14, quite a lot of Fairly deep python stuff we've got some typing going on I might not know what mappings are or callables
00:47:20, there's name spaces and get atas and dicks and is instance um how should I
00:47:26, approach this code versus the maybe the examples that are being intered like because this is the source code of this Library yeah um but you're not writing
00:47:33, this with lots of comments or explanations it's more like the usage yeah so what what should I like if I
00:47:38, come to this library and I'm reading this source code how much should I be focusing on the the Deep python
00:47:43, internals versus the usage versus like the big that's a good question so
00:47:50, before for someone who doesn't particularly want to learn
00:47:55, new python things but just wants to use this Library this probably isn't the video
00:48:01, for you instead just read the docs and none of that like you
00:48:06, can see in the docs there's nothing weird right the docs just use it
00:48:14, um and you don't need this video it's really easy to use um so yeah the
00:48:20, purpose of this discussion is for people who want to go deeper
00:48:29, and yeah the fact that I'm skipping over these details isn't because either
00:48:35, they're easy or that everybody should understand them or any of that it's just
00:48:41, that um they're all things that Google or chat GPT or whatever will perfectly
00:48:47, happy teach you about so these these are all things that are built into python um but you know yeah you know
00:48:55, that' probably be part of something called like python Advanced course or something so one of the things a lot of intermediate python programmers tell me
00:49:02, is that they like reading my code to learn about bits of python they didn't know about and they use it as like
00:49:09, jumping off points to study um and that's also why like okay
